ID	NameUA	NameEN	DescriptionUA	DescriptionEN
75	Головний інформаційний директор	Chief Information Officer (CIO)	це посадове ім'я особи, яка відповідає за систему інформаційних технологій у компанії. Посадові обов'язки включають планування технологічної архітектури, узгодження корпоративної мережі з розробленим бізнесом і розробку безпечної системи управління фінансами для компанії.	
76	Група реагування на комп'ютерні інциденти	Cyber Incident Response Team (CIRT)	це команда реагування на комп'ютерні інциденти розслідує інциденти мережевої безпеки, які виникають, коли відбувається несанкціонований доступ до мережевих ресурсів або захищених даних. Їх робота полягає в тому, щоб проаналізувати, як стався інцидент, і надати відповідь, виявивши, як стався злом і яку інформацію було втрачено.	
77	Горщик для меду	Honeypot	це програма, яка використовується в цілях безпеки та здатна імітувати одну або кілька мережевих служб, які виглядають як порти комп'ютера. Коли зловмисник намагається проникнути, honeypot зробить цільову систему вразливою. У фоновому режимі він реєструватиме спроби доступу до портів, які навіть можуть містити такі дані, як натискання клавіш зловмисника. Потім дані, зібрані honeypot, можна використовувати для передбачення вхідних атак і підвищення безпеки в компаніях.	
78	Гібридна атака	Hybrid attack	робить атаку за словником (використовується для злому паролів) ще сильнішою, додаючи цифри та символи, тому облікові дані можна зламати ще швидше.	
79	Дайвінг на смітнику	Dumpster diving	це незаконний метод отримання паролів і корпоративних каталогів шляхом пошуку у викинутих носіях.	
80	Глибока мережа	Deep Web	це концепція, схожа на темну мережу, але яка має менш тіньовий характер. Вміст всесвітньої павутини, який не індексується традиційними пошуковими системами, відомий як глибока мережа, і певні групи віддають перевагу йому через підвищений рівень конфіденційності. Однак, на відміну від темної мережі, глибока мережа не вимагає від своїх користувачів особливої технічної підкованості та не приховується складними методами; все, що вам потрібно, це знати адресу веб-сайту, до якого ви хочете отримати доступ.	
81	Делікатна інформація	Sensitive information	це тип інформації, який визначається тим, що не кожен може отримати до неї доступ, це дані, які є конфіденційними для певної категорії користувачів, які можуть переглядати, отримувати доступ і використовувати ці дані. Цей тип інформації захищено з міркувань, пов'язаних з юридичними або етичними аспектами. Приклади включають: персональні ідентифікаційні номери, інформацію про стан здоров'я, записи про освіту, комерційну таємницю, інформацію про кредитну картку тощо.	
82	Демілітаризована зона	Demilitarised Zone (DMZ)	це мережа, розташована між Інтернетом і захищеною локальною мережею, у якій ви розміщуєте такі служби, як веб-сервери та сервери електронної пошти.	
83	Депонування	Escrow	це коли дві сторони подають третій стороні щось важливе для них обох, але одержувач не може бути впевнений, що зможе отримати від постачальника. Депонування коду є загальноприйнятою концепцією: якщо компанія B створює спеціальну частину програмного забезпечення для компанії A, зазвичай обидві сторони погоджуються подати копію вихідного коду «в депонування» сторін і C, якій довірено надати це джерело Коду для компанії A лише у випадку, якщо компанія B припинить діяльність.	
84	Джерело загрози	Threat source	відноситься до мети та методу, який використовують кібер-зловмисники для використання вразливості системи безпеки або певного контексту, щоб скомпрометувати інформаційну систему. Активація вразливості системи може статися випадково або навмисно.	
85	Диреза	Dyreza (Dyre)	це банківський троян (фінансова шкідлива програма), який з'явився в 2014 році, поведінка якого схожа на сімейство ZeuS, хоча зв'язку між Dyreza та ZeuS немає. Зловмисне програмне забезпечення ховається в популярних веб-переглядачах, якими користуються мільйони користувачів для доступу до Інтернету, і спрямоване на отримання конфіденційної фінансової інформації щоразу, коли жертва підключається до банківського веб-сайту. Dyreza здатна реєструвати ключі, обходити механізми SSL і двофакторну автентифікацію, і зазвичай поширюється через фішингові електронні листи.	
86	Дистанційна діагностика	Remote diagnostics	це технічне обслуговування, яке надається авторизованими компаніями/окремими особами, які використовують Інтернет для зв'язку з мережею компанії.	
87	Дрідекс	Dridex	це різновид фінансового шкідливого програмного забезпечення, яке використовує макроси Microsoft Office для зараження інформаційних систем. Dridex розроблено для збору та викрадення банківських облікових даних і додаткової особистої інформації, а його основною метою є банківське шахрайство.	
88	Документ шкідливих програм	Document malware	це зловмисне програмне забезпечення для документів, що використовує вразливості програм, які дозволяють користувачам читати або редагувати документи.	
89	Експлойт	Exploit	це частина програмного забезпечення, фрагмент даних або послідовність команд, які використовують помилку, збій або вразливість програмного забезпечення, щоб проникнути в систему користувача зі зловмисними намірами. Ці зловмисні наміри можуть включати отримання контролю над комп'ютерною системою, дозвіл ескалації привілеїв або запуск атаки на відмову в обслуговуванні.	
90	Експлойт Angler Kit	Exploit Angler Kit	з'явився в 2013 році і зараз є одним із найвідоміших і найскладніших наборів експлойтів серед кіберзлочинців. Він має агресивну тактику, щоб уникнути виявлення продуктами безпеки, і він здатний використовувати широкий спектр уразливостей програмного забезпечення, щоб заразити нічого не підозрюючих жертв шкідливим програмним забезпеченням. Оскільки він зазвичай поширюється через випадкові завантаження, Angler надзвичайно важко виявити, і він може заразити користувачів без жодної взаємодії. Він також має можливості безфайлового зараження та здатний доставляти різноманітні корисні навантаження, від програм-вимагачів до руткітів і троянських програм, що працюють за бекдорами. Його поширеність також зміцнюється тим фактом, що кіберзлочинцям не потрібні передові технічні навички, щоб використовувати його, і тим фактом, що це загроза, яка постійно розвивається.	
91	Екстранет	Extranet	це інтернет-сайт, розроблений для підключення організацій-партнерів або клієнтів до ваших систем для доступу до інформації та інших матеріалів.	
92	Журнал аудиту	Audit Log	це журнал системи або програми, у якому зберігаються відомості про те, що люди робили в програмі/системі, до якої він застосований, що є безцінним як для загального моніторингу, так і, зокрема, для кримінального аналізу у разі виникнення проблеми.	
93	Загальнодоступне програмне забезпечення	Public Domain Software	це програмне забезпечення, вихідний код якого оприлюднено безкоштовно, і яке може повторно використовувати будь-хто з умовами ліберального набору правил ліцензування.	
94	Загальна система оцінки вразливостей	Common Vulnerability Scoring System (CVSS)	це галузевий стандарт для оцінки серйозності вразливості в комп'ютерній системі та представлення її як «бал» від 0 (немає ризику) до 10 (серйозний ризик).	
95	Загартовування	Hardening	це встановлення комп'ютерної системи (зокрема, сервера) за замовчуванням і зміна її конфігурації, щоб зробити її більш безпечною — наприклад, шляхом вимкнення системних компонентів, які не використовуються, або ввімкнення вбудованого програмного забезпечення безпеки.	
96	Загроза	Threat	це можливе порушення безпеки, яке може стати певним, якщо розгортаються правильний контекст, можливості, дії та події. Якщо загроза стає реальністю, це може спричинити порушення безпеки або додаткові збитки.	
97	Загрозлива подія	Threat event	це потенційно шкідлива ситуація для інформаційної системи, яка може мати небажані наслідки.	
98	Забезпечення інформації	Information assurance	це набір заходів, призначених для захисту даних та інформаційних систем, гарантуючи, що вони завжди доступні, що їх цілісність є безпечною, що вони конфіденційні та автентичні (принцип невідмовності). Ці заходи включають резервне копіювання даних для відновлення інформації у разі нещасної події, наявність засобів захисту кібербезпеки та забезпечення можливостей виявлення та реагування.	
99	Залежний від часу пароль	Time-dependent password	це тип пароля, який може бути дійсним протягом обмеженого періоду часу або він може бути дійсним для використання протягом певного інтервалу в день. Залежні від часу паролі найчастіше генеруються програмою та є частиною механізмів двофакторної або багатофакторної автентифікації.	
100	Залишковий ризик	Residual risk	це тип ризику, який залишається після застосування всіх доступних заходів і тактик безпеки. Оскільки не існує такого поняття, як 100% кібербезпека, для кожної ідентифікованої кіберзагрози залишається залишковий ризик.	
101	Зарядне обладнання	Chargeware	це форма шахрайства, яка зазвичай пов'язана з сайтами на яких є цензура. Це спосіб змусити користувача підписати незрозумілі положення та умови, що стягує зайву плату з кредитної картки та ускладнює відмову від підписки.	
102	Запобіжні заходи	Safeguards	стосується набору заходів захисту, які мають відповідати основним вимогам безпеки інформаційної системи, щоб забезпечити конфіденційність, цілісність і доступність. Це включає в себе все: від безпеки співробітників до забезпечення безпеки фізичних структур і пристроїв, обмежень управління тощо.	
103	Запобігання витоку даних	Data Leakage Prevention (DLP)	це програмне забезпечення, яке запобігає виходу з вашої системи інформації, яка не повинна залишати ваші системи, наприклад, скануючи вміст вихідної електронної пошти або копіювання файлів на USB-накопичувач.	
104	Заповнення кешу	Cache Cramming	це техніка, яка дозволяє обманом змусити браузер запускати шкідливий код Java з локального диска, а не з Інтернету. Виконання локального коду (який працює з меншими дозволами) дозволяє онлайн-злочинцям отримати доступ до цільового комп'ютера.	
105	Застосунок	Application	це програма, яка працює на комп'ютері.	
106	Затоплення	Flooding	це атака безпеки, яка використовується хакерами проти кількох серверів або веб-сайтів. Затоплення — це процес надсилання великого обсягу інформації в таке місце з метою блокування його обчислювальних можливостей і припинення належної роботи.	
107	Зашифрована мережа	Encrypted Network	це мережа, у якій повідомлення шифруються за допомогою спеціального алгоритму, щоб запобігти їх читанню неавторизованими людьми.	
108	Захід придушення	Suppresion measure	це може бути будь-яка дія або пристрій, який використовується для зменшення ризиків безпеки в інформаційній системі. Це частина процесу зменшення ризиків, спрямована на мінімізацію ризиків безпеки організації чи інформаційної системи.	
109	Зворотне проектування	Reverse engineering	це метод, який активно використовують дослідники кібербезпеки, які постійно розбирають зловмисне програмне забезпечення, щоб проаналізувати його. Таким чином вони можуть зрозуміти та спостерігати, як працює зловмисне програмне забезпечення, і можуть розробити рішення безпеки, які можуть захистити користувачів від такого типу зловмисного програмного забезпечення та його тактики. Це одна з найцінніших видів діяльності зі збору розвідувальних даних про кібербезпеку.	
110	Зловмисне програмне забезпечення для захоплення форм	Form-grabbing malware	це тип зловмисного програмного забезпечення, який може збирати ваші конфіденційні дані, коли ви заповнюєте веб-форму, перш ніж дані будуть надіслані через Інтернет на безпечний сервер. Роблячи це, зловмисне програмне забезпечення може уникнути безпеки, що забезпечується з'єднанням HTTPS. На жаль, використання віртуальної клавіатури, автозаповнення чи копіювання/вставлення не захистить вас від цієї загрози. Більше того, зловмисне програмне забезпечення може класифікувати дані за типом (ім'я користувача, пароль тощо) і навіть захоплювати URL-адресу, куди ви вводили інформацію.	
111	Зловживання комп'ютером	Computer Abuse	це неетичне використання комп'ютера для запуску онлайн-атак, як-от фішинг і кампанії доставки зловмисного програмного забезпечення, диверсії та дії в кібервійні.	
112	Злочинна реклама	Malvertisement	це онлайн-оголошення, заражене зловмисним кодом, який навіть можна впровадити на безпечний законний веб-сайт без відома власника веб-сайту. Це скорочення від «реклама шкідливих програм».	
113	Змішана загроза	Blended Threat	це широко вживаний термін, який описує онлайн-атаку, яка поширюється за допомогою комбінації методів, зазвичай комбінації черв'яків, троянів, вірусів та іншого шкідливого програмного забезпечення. Ця комбінація елементів зловмисного програмного забезпечення, яка використовує кілька векторів атак, збільшує шкоду та ускладнює захист окремих систем і мереж.	
114	Зменшення ризику	Risk mitigation	це процес, за допомогою якого ризики оцінюються, пріоритезуються та управляються за допомогою тактики та заходів пом'якшення. Оскільки будь-яка компанія має динамічне середовище, періодичний перегляд має бути визначальною характеристикою процесу зменшення ризиків.	
115	Зовнішнє тестування безпеки	External Security Testing	це тестування безпеки, яке проводиться поза периметром безпеки організації.	
116	Зовнішня загроза	Outside Threat	стосується неавторизованої особи за межами периметра безпеки компанії, яка може завдати шкоди інформаційній системі, знищивши її, змінивши або викравши дані з неї та розкривши їх неавторизованим одержувачам, та/або спричинивши відмову в обслуговуванні.	
117	Зіткнення	Collision	це екземпляр, у якому шифрування або хеш-функція створює однаковий вихід для двох або більше наборів вхідних даних.	
118	Інкрементні резервні копії	Incremental Backups	є надзвичайно важливими для збереження інформації в безпеці та актуальності. Цей тип резервного копіювання створюватиме резервні копії лише тих файлів, які ви змінили після виконання останнього резервного копіювання. Це означає, що резервне копіювання відбувається швидше, і ви можете бути впевнені, що у вас завжди буде безпечне резервне копіювання всієї вашої роботи.	
119	Інтранет	Intranet	це веб-сервер, який є повністю внутрішнім для вашої організації та недоступний з Інтернету.	
120	Інтелектуальна власність	Intellectual Property	стосується корисної художньої, технічної чи промислової інформації, концепцій, ідей або знань, які чітко показують, що вони належать комусь, хто контролює їх у фізичній формі чи у вигляді.	
121	Інтернет	Internet	це глобальна мережа, що об'єдную переважну більшість комп'ютерних систем у всьому світі.	
122	Інтернет-хробак	Internet Worm	було створено дослідниками в 1980-х роках, щоб знайти надійний спосіб розвитку Інтернету за допомогою самовідтворюваних програм, які можуть автоматично поширюватися в мережі. Інтернет-хробак робить саме це: він поширює себе в Інтернеті, використовуючи підключення комп'ютерів до Інтернету для відтворення.	
123	Інформаційна безпека	Information Security	це тактика, інструменти, заходи та дії, вжиті для захисту даних та інформаційних систем від несанкціонованого доступу, використання, розголошення, порушення, модифікації або знищення. Його метою є забезпечення конфіденційності, цілісності та доступності даних та інформаційних систем.	
124	Ймовірність появи	Likelihood of Occurence	визначає ймовірність того, що конкретні загрози використають певну вразливість на основі суб'єктивного аналізу.	
125	Кейлоггінг	Keylogging	за допомогою клавіатурного журналу кіберзлочинці можуть використовувати шкідливе програмне забезпечення для запису натискань клавіш на клавіатурі користувача, не усвідомлюючи цього жертвою. Таким чином кіберзлочинці можуть збирати таку інформацію, як паролі, імена користувачів, PIN-коди та інші конфіденційні дані.	
126	Керування виправленнями	Patch Management	стосується діяльності з отримання, тестування та встановлення програмних виправлень для мережі та систем у ній. Керування виправленнями включає застосування виправлень як для цілей безпеки, так і для покращення програмного забезпечення, що використовується в мережі та системах у ній.	
127	Кеш (кеш-пам'ять)	Cache	це технологія для зберігання даних і надання можливості обслуговувати майбутні запити з вищою швидкістю. Цей високошвидкісний метод зберігання зазвичай використовується для веб-сторінок і онлайн-документів, як-от HTML-сторінок і зображень, щоб збільшити швидкість завантаження та уникнути небажаної затримки.	
128	Китобійний промисел	Whaling	це форма складного фішингу, метою якого є збір конфіденційних даних про ціль. Від фішингу відрізняється те, що китобійний промисел переслідує високопоставлених, відомих і багатих цілей, таких як знаменитості, генеральні директори, керівництво вищого рівня та інші впливові чи багаті особи. Використовуючи фішингову інформацію, шахраї та кіберзлочинці можуть обманом змусити жертв розкрити ще більше конфіденційних чи особистих даних, або їх можуть вимагати та постраждати від фінансового шахрайства.	
129	Кібератака	Cyber Attack	це будь-який тип наступальних дій, що використовуються окремою особою або організованою групою, спрямовані на комп'ютерні мережі, інформаційні системи або велику ІТ-інфраструктуру за допомогою різних засобів для розгортання шкідливого коду з метою викрадення, зміни або захоплення будь-які переваги від цього типу дій. Кібератака може мати різні назви: від кіберкампанії, кібервійни до кібертероризму чи онлайн-атаки. За останні роки програмне забезпечення, яке використовується для онлайн-атак, схоже, стає все більш і більш досконалим, і правоохоронним органам у всьому світі важко намагатися впоратися з цією глобальною загрозою.	
130	Кіберінцидент	Cyber Incident	має місце, коли відбувається порушення політики безпеки комп'ютерних мереж, і прямі результати впливають на всю інформаційну систему.	
131	Кібербезпека	Cyber Security	це загальний термін, який означає можливість організації стратегії захисту від онлайн-злочинців та їхніх зловмисних дій. Повна стратегія кібербезпеки включає в себе безліч інструментів і методів для захисту операційної системи від класичних вірусів і троянів, шпигунського програмного забезпечення, зловмисного програмного забезпечення, що викрадає фінансові дані та дані. У той же час онлайн-безпека є важливою, і її потрібно захищати за допомогою інших засобів, таких як програмне забезпечення VNP і рішення для резервного копіювання.	
132	Кіберзброя	Cyber Weapon	стосується вдосконаленого та складного фрагмента коду, який можна використовувати у військових або розвідувальних цілях. Термін нещодавно з'явився у військовій сфері для позначення шкідливого програмного забезпечення, яке можна використовувати для доступу до комп'ютерних мереж ворога.	
133	Ключ шифрування трафіку	Traffic Encryption Key (TEK)	це ключ, який використовується для шифрування трафіку в мережі.	
134	Ковтер	Kovter	це троян, основною метою якого є виконання операцій із шахрайством кліків на ПК, який він скомпрометував. Однак у 2015 році Ковтер застосував нові трюки маскування, щоб уникнути виявлення, тому кіберзлочинці почали використовувати його для доставки інших типів шкідливих програм, таких як програми-вимагачі, або для вербування ПК у ботнети.	
135	Командно-диспетчерський сервер	Command and Control Center	це мережевий сервер, який керує великою мережею скомпрометованих систем. Шкідливий сервер використовується хакерами для надсилання та отримання команд із заражених комп'ютерів. Використовуючи цей тип мережі, хакери можуть запускати розподілені атаки на відмову в обслуговуванні, інструктуючи комп'ютери виконати ту саму дію.	
136	Комплекти експлойтів як послуга	Exploit Kits-as-a-Service	це відносно нова бізнес-модель, яку використовують кіберзлочинці, у якій вони створюють, керують і продають або орендують набори експлойтів, доступні та прості у використанні під час кібератак. Набори експлойтів як послуга не вимагають значних технічних знань для використання, вони дешевші (особливо якщо взяти в оренду), вони гнучкі та можуть бути упаковані різними типами зловмисного програмного забезпечення, пропонують ширше охоплення, зазвичай їх важко виявляти та використовувати для використання широкого діапазону вразливостей. Завдяки цій бізнесмоделі виробникам наборів експлойтів дуже вигідно продавати свій шкідливий код і збільшувати свої доходи.	
137	Комп'ютерна криміналістика	Computer Forensics	пов'язана з цифровою криміналістикою та є практикою, за допомогою якої цифрові дані збираються та аналізуються для юридичних цілей. Основна мета — виявити, проаналізувати та представити факти про цифрову інформацію. Висновки можуть бути використані в боротьбі з кіберзлочинністю або для цивільного судочинства.	
138	Компроміс	Compromise	це успішне проникнення хакера в систему, незважаючи на захищені механізми безпеки.	
139	Конфіденційність	Confidentiality	це набір правил або угод, які обмежують доступ або обмежують доступ до певних типів інформації. Якщо така угода укладена, інформація розкривається лише тім, хто має право переглядати її.	
140	Контроль безпеки	Security controls	це набір запобіжних заходів, призначених для уникнення та пом'якшення впливу ризиків кібербезпеки організації.	
141	Контроль інформаційних потоків	Information Flow Control	це важливий запобіжний засіб у кампаніях, створений для того, щоб передача даних в інформаційній системі відповідала політиці безпеки та була максимально безпечною.	
142	Консультативне попередження	Advisory	це сповіщення, опубліковане консультантами з безпеки, правоохоронними органами тощо, щоб розповісти світові про проблему безпеки, з якою вони зіткнулися, і про яку, на їхню думку, варто попередити людей. Доцільно знайти час, щоб прочитати їх, оскільки це безкоштовна інформація про атаки, які можуть обрушитися на ваші двері найближчим часом.	
143	Корисне навантаження	Payload	це вантаж даних, який передається зловмисним програмним забезпеченням на уражений пристрій або мережу. Корисне навантаження містить основну мету передачі, тому корисне навантаження насправді є елементом зловмисного програмного забезпечення, яке виконує зловмисну дію (наприклад, викрадення фінансової інформації, знищення даних, шифрування даних на ураженому пристрої/мережі тощо). Коли ви розглядаєте шкідливі наслідки зловмисного програмного забезпечення, саме тоді можна говорити про корисне навантаження.	
144	Кнопка перекидання	Flip button	з'являється, коли шпигунське або рекламне програмне забезпечення обманом змушує користувачів виконати різні дії та встановити шкідливе програмне забезпечення в системі.	
145	Крадіжка даних	Data theft	описує незаконні операції, під час яких конфіденційна інформація отримується від компанії чи окремої особи. Зазвичай викрадені дані включають облікові дані для онлайн-рахунків і банківських сайтів, дані кредитної картки або цінну корпоративну інформацію. В останні роки кількість таких операцій збільшилася, і тепер виникла необхідність захищати дані додатковими засобами безпеки.	
146	Кримінальне програмне забезпечення	Crimeware	відрізняється від рекламного або шпигунського ПЗ і створене для операцій з крадіжки особистих даних, які використовують схеми соціальної інженерії для отримання доступу до облікових записів користувачів в Інтернеті. Злочинне програмне забезпечення стає все більшою проблемою для безпеки мереж, оскільки численні типи зловмисного програмного забезпечення прагнуть викрасти цінні дані з систем. Отриману інформацію можна надіслати іншим зацікавленим сторонам за певну ціну.	
147	Криптографія	Cryptography	це навчання перетворення даних із необробленої форми у  форму, де їх не зможуть прочитати неавторизовані особи.	
148	Криптографічний ключ	Cryptographic Key	це третій елемент (із трьох) під час шифрування даних: алгоритм шифрування поєднується з криптографічним ключем для перетворення простого тексту на зашифрований текст.	
149	Криптографічна міцність	Cryptographic Strength	це рівень складності зламу криптографічної системи: висока криптостійкість означає, що шифр дуже важко зламати.	
150	Ланцюжок доказів	Chanin of Evidence	це остаточна, доведена послідовність подій та/або дій, яку ви використовуєте, щоб продемонструвати суду чи трибуналу або відділу кадрів, яка переконливо демонструє, що сталося під час порушення безпеки. Повинна бути можливість пройти ваш ланцюжок доказів від початку до кінця та продемонструвати, що жоден із доказів не міг бути підроблений або незаконно відкритий на будь-якому етапі.	
151	Латки	Patching	це акт застосування патча, призначеного для виправлення або покращення програмного забезпечення. Це стосується як оновлень, пов'язаних із безпекою, так і покращень функцій програмного забезпечення та взаємодії з користувачем.	
152	Логічна бомба	Logic Bomb	це фрагмент коду, який зловмисник може вставити в програмне забезпечення, щоб запустити зловмисну функцію, коли виконується набір визначених умов.	
153	Ловля сома (рибалка)	Catfishing	це процес створення підробленого онлайн-профілю, щоб обманом змусити людей повірити, що вони хтось інший. Ловля котів часто здійснюється заради фінансової вигоди. Імітатор вводить жертву в оману, змушуючи її повірити, що між ними існують справжні стосунки, які встановлюються через текстове повідомлення чи телефон, але ніколи особисто. У якийсь момент імітатор попросить велику послугу, як правило, грошову, з доданою обіцянкою, що після цього вони нарешті зустрінуться віч-на-віч. Навіть після надання послуги імітатор усе ще знаходить причини не зустрічатися та продовжуватиме намагатися витягнути гроші з жертви, доки той/вона не здасться.	
